20:55:42: [INFO] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 47] Logger initialized
20:55:43: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:55:44: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:55:45: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:55:46: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:55:47: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:55:48: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:55:49: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:55:50: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:55:51: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:55:52: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:55:53: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:55:54: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:55:55: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
20:55:56: [ERROR] [C:\Users\12897\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 134] Did not recieve both position and attitude
